LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,04-Jan-2002 05:25:31,0                 
Time,Ampl
-0.0025000169,-0.0353557
-0.0024999669,-0.0309362
-0.0024999169,-0.0287265
-0.0024998669,-0.0265168
-0.0024998169,-0.0287265
-0.0024997669,-0.0309362
-0.0024997169,-0.0331459
-0.0024996669,-0.0309362
-0.0024996169,-0.0331459
-0.0024995669,-0.0309362
-0.0024995169,-0.0309362
-0.0024994669,-0.0331459
-0.0024994169,-0.0309362
-0.0024993669,-0.0309362
-0.0024993169,-0.0309362
-0.0024992669,-0.0287265
-0.0024992169,-0.024307
-0.0024991669,-0.0309362
-0.0024991169,-0.0309362
-0.0024990669,-0.0309362
-0.0024990169,-0.0331459
-0.0024989669,-0.0331459
-0.0024989169,-0.0309362
-0.0024988669,-0.0331459
-0.0024988169,-0.0331459
-0.0024987669,-0.0331459
-0.0024987169,-0.0309362
-0.0024986669,-0.0309362
-0.0024986169,-0.0331459
-0.0024985669,-0.0331459
-0.0024985169,-0.0353557
-0.0024984669,-0.0309362
-0.0024984169,-0.0331459
-0.0024983669,-0.0331459
-0.0024983169,-0.0309362
-0.0024982669,-0.0331459
-0.0024982169,-0.0309362
-0.0024981669,-0.0331459
-0.0024981169,-0.0331459
-0.0024980669,-0.0309362
-0.0024980169,-0.0331459
-0.0024979669,-0.0265168
-0.0024979169,-0.0353557
-0.0024978669,-0.0353557
-0.0024978169,-0.0331459
-0.0024977669,-0.0331459
-0.0024977169,-0.0331459
-0.0024976669,-0.0331459
-0.0024976169,-0.0353557
-0.0024975669,-0.0353557
-0.0024975169,-0.0353557
-0.0024974669,-0.0375654
-0.0024974169,-0.0309362
-0.0024973669,-0.0331459
-0.0024973169,-0.0353557
-0.0024972669,-0.0331459
-0.0024972169,-0.0331459
-0.0024971669,-0.0331459
-0.0024971169,-0.0331459
-0.0024970669,-0.0331459
-0.0024970169,-0.0309362
-0.0024969669,-0.0331459
-0.0024969169,-0.0353557
-0.0024968669,-0.0331459
-0.0024968169,-0.0309362
-0.0024967669,-0.0331459
-0.0024967169,-0.0353557
-0.0024966669,-0.0353557
-0.0024966169,-0.0331459
-0.0024965669,-0.0353557
-0.0024965169,-0.0353557
-0.0024964669,-0.0397751
-0.0024964169,-0.0353557
-0.0024963669,-0.0353557
-0.0024963169,-0.0331459
-0.0024962669,-0.0353557
-0.0024962169,-0.0353557
-0.0024961669,-0.0331459
-0.0024961169,-0.0375654
-0.0024960669,-0.0353557
-0.0024960169,-0.0331459
-0.0024959669,-0.0331459
-0.0024959169,-0.0287265
-0.0024958669,-0.0375654
-0.0024958169,-0.0353557
-0.0024957669,-0.0309362
-0.0024957169,-0.0353557
-0.0024956669,-0.0375654
-0.0024956169,-0.0331459
-0.0024955669,-0.0353557
-0.0024955169,-0.0353557
-0.0024954669,-0.0353557
-0.0024954169,-0.0353557
-0.0024953669,-0.0331459
-0.0024953169,-0.0331459
-0.0024952669,-0.0331459
-0.0024952169,-0.0353557
-0.0024951669,-0.0375654
-0.0024951169,-0.0353557
-0.0024950669,-0.0353557
-0.0024950169,-0.0331459
-0.0024949669,-0.0331459
-0.0024949169,-0.0353557
-0.0024948669,-0.0331459
-0.0024948169,-0.0353557
-0.0024947669,-0.0375654
-0.0024947169,-0.0353557
-0.0024946669,-0.0331459
-0.0024946169,-0.0375654
-0.0024945669,-0.0375654
-0.0024945169,-0.0375654
-0.0024944669,-0.0353557
-0.0024944169,-0.0331459
-0.0024943669,-0.0353557
-0.0024943169,-0.0353557
-0.0024942669,-0.0353557
-0.0024942169,-0.0287265
-0.0024941669,-0.0375654
-0.0024941169,-0.0353557
-0.0024940669,-0.0375654
-0.0024940169,-0.0375654
-0.0024939669,-0.0353557
-0.0024939169,-0.0375654
-0.0024938669,-0.0375654
-0.0024938169,-0.0375654
-0.0024937669,-0.0353557
-0.0024937169,-0.0375654
-0.0024936669,-0.0331459
-0.0024936169,-0.0375654
-0.0024935669,-0.0353557
-0.0024935169,-0.0331459
-0.0024934669,-0.0353557
-0.0024934169,-0.0375654
-0.0024933669,-0.0353557
-0.0024933169,-0.0375654
-0.0024932669,-0.0375654
-0.0024932169,-0.0309362
-0.0024931669,-0.0353557
-0.0024931169,-0.0419849
-0.0024930669,-0.0353557
-0.0024930169,-0.0331459
-0.0024929669,-0.0375654
-0.0024929169,-0.0331459
-0.0024928669,-0.0353557
-0.0024928169,-0.0375654
-0.0024927669,-0.0375654
-0.0024927169,-0.0375654
-0.0024926669,-0.0353557
-0.0024926169,-0.0375654
-0.0024925669,-0.0353557
-0.0024925169,-0.0397751
-0.0024924669,-0.0353557
-0.0024924169,-0.0397751
-0.0024923669,-0.0397751
-0.0024923169,-0.0375654
-0.0024922669,-0.0397751
-0.0024922169,-0.0375654
-0.0024921669,-0.0353557
-0.0024921169,-0.0375654
-0.0024920669,-0.0353557
-0.0024920169,-0.0375654
-0.0024919669,-0.0397751
-0.0024919169,-0.0375654
-0.0024918669,-0.0397751
-0.0024918169,-0.0419849
-0.0024917669,-0.0375654
-0.0024917169,-0.0375654
-0.0024916669,-0.0353557
-0.0024916169,-0.0353557
-0.0024915669,-0.0397751
-0.0024915169,-0.0375654
-0.0024914669,-0.0375654
-0.0024914169,-0.0375654
-0.0024913669,-0.0397751
-0.0024913169,-0.0397751
-0.0024912669,-0.0375654
-0.0024912169,-0.0375654
-0.0024911669,-0.0375654
-0.0024911169,-0.0375654
-0.0024910669,-0.0353557
-0.0024910169,-0.0419849
-0.0024909669,-0.0353557
-0.0024909169,-0.0375654
-0.0024908669,-0.0397751
-0.0024908169,-0.0353557
-0.0024907669,-0.0353557
-0.0024907169,-0.0397751
-0.0024906669,-0.0397751
-0.0024906169,-0.0353557
-0.0024905669,-0.0419849
-0.0024905169,-0.0397751
-0.0024904669,-0.0397751
-0.0024904169,-0.0419849
